,clean_text,sentiment
162,terimakasih gan barang sudah sampai,positive
163,barang sudaj sampai gan tks ,positive
164,respon cepat pengiriman juga cepat sudah dites kualitas barang ok trims,positive
165,terimakasihhhhhhh ,positive
166,barang sdh dterima dgn baik trima kasih ,positive
167,barang sudah di terima bagus packing rapih makasih pelayanan nya,positive
168,barang sudah sampai bahan kokoh sptnya udah di tes ke kayu nempel kuat untung dapet bonus isi nya trims gan ,positive
169,packing sangat rapih dan barang sesuai yg dipesan,positive
170,mantap ajib top joss,positive
171,pengiriman amp packaging bagus sesuai foto amp deskripsi staple gun agak berat ketika dipake ,positive
172,oke sesuai pesanan,positive
173,makasih gan barang sesuai ,positive
174,barang bagus kalau beli isinya kira di toko atk ada yang jual nda ya ,positive
175,trims yaaa barangx sdh sampai,positive
176,barang sesuai walaupun belum di coba makasih tokopedia,positive
177,packing bagus barang sesuai diskripsi,negative
178,mantab fast respon ,positive
179,barang sudah sampai belum tak coba,positive
180,baguuuus sesuai deskripsi dan gambar belum dicoba sih semoga g ada masalah,positive
181,produk bekerja dengan baik amp kuat,positive
182,beli staples gak jual isinya hanya sekali pake ckckck,negative
183,bagusbanget ,positive
184,puas pisan cepet pisan,positive
185,barang bagus sesuai deskripsi packing rapi pengiriman cepat semoga tambah sukses gan tks ,positive
186,kirimannya sudah sampe makasih,positive
187,barang sesuai pesanan,positive
188,barang sdh sampai dgn cepat sdh dicoba dan hasilnya ok sukses terus boss ,positive
189,sesuai gambar tp blm dicoba semoga memuaskan thanks,positive
190,barangnya kurang bagus atomnya gak masuk semua,negative
191,sangat cepat responnya good job thanks,positive
192,sudah saya terima dlm keadaan baik trims,positive
193,terima kasih thank you danke gracias kittos syukron ,positive
194,brg sesuai gambar pelayanan oke,positive
195,barang sdh sampai ,positive
196,barang sudah di terima dengan baik,positive
197,barang sesuai gambar kemasan baik dan pengiriman cepat terima kasih,positive
198,barang sesuai deskripsi cuma terlambat di pengiriman semoga berkah,positive
199,sesuai dgn deskripsi dan foto dan sangat cocok bagi saya yg baru belajar saya rekomendasikan toko rumah baju kita untuk belanja disini sebab komitmen dgn pembicaraan kita dichat setelah bayar barang langsung diproses dan dikirim hari itu juga untuk pengirimannya menggunakan pos indonesia sudah sesuai dengan waktu pengiriman yg saya pilih sy puas dengan pelayan kalian,positive
200,good product mantab jaya recomended seller,positive
201,produk mantab pelayanan cepat terimakasih,positive
202,barang sesuai deskripsi tolong pakingnya di pebaiki lagi dikasih lakban biar aman punya saya pakunya tercecer dimana kotaknya robek,positive
203,barang sesuai deskripsi dan bagus semoga awet thx,positive
204,packing baik recommended seller barang sesuai pesanan,positive
205,bagus nanti saya pesan lagi di toko ini,positive
206,mantap gan bagus ,positive
207,saya mau review utk packaging produk dan penjual pertama packaging sangat rapi pakai double bubble dan dibalut lagi dengan karton tebal kedua produk sangat berkualitas tinggi harga standar dan kualitas juara ketajaman ujung mata paku sangat tajam hingga mempermudah paku tembusnya ketiga penjual sangat sangat ramah baru kali pertama ini saya dilayani dengan sangat puas pertama saya beli barang ini dan ancur parah oleh pihak ekspedisi dan saya tidak langsung komplain tetapi coba utk diskusi dengan penjual dan hasilnya sangat memuaskan bahwa penjual siap utk mengirim ulang tanpa membawa barang yg rusaknya itu saya jamin menurut pengalaman pribadi kalo ini toko berani bersaing dari sisi harga dan sangat recommended seller ,positive
208,respon dan pengiriman cepat barang oke good seller,positive
209,pengiriman cepat packing rapi dan barangnya sesuai dgn deskripsi,positive
210,bagus bagus bagusksksnsnjsjjsksmmsms,positive
211,respon dan pengiriman cepat barang bagus,positive
212,selamat sampai tujuan barang berfungsi normal isi paket lengkap,positive
213,recomended seller respon cepat packing mantap barang pesanan di buble wrap josss,positive
214,produknya ok ,positive
215,kualitas okey makasih gan semua barang aman dan sesuai deskripsi ,positive
216,mantab joos tanpa kendala sampai jg sangat cepat packingnya aman kemasan dan produk mulus top pkoknya sukses selalu,positive
217,barang sesuai pesanan respon dan pengiriman cepat good seller,positive
218,barang sesuai posting siip,positive
219,berfungsi dengan baik pengiriman dan respon cepat,positive
220,barang sesuai dengan gambar pengiriman cepat respon seller ,positive
221,recommended seller ,positive
222,barang bagus respond cepat ,positive
223,barang sesuai order respon dan pengiriman cepat,positive
224,terima kasih pak barang nay sudah sampai,positive
225,bagusssssssssssss mksh,positive
226,pas dengan air nailer nya gan thanks recommended seller ,positive
227,oke sip sudah dinpake mantap,positive
228,makasih juragan ,positive
229,mantab salam ningrat ,positive
230,best dah best best penjual yg bner best dah ,positive
231,barang datang sesuai pesanan packing rapi ,positive
232,mantap barng oke dn cepat,positive
233,mkasih bnyak barang sesuai harga miring kualitas baguss sekali sukses ya gan,positive
234,alhamdulillah paket sdh sampai respon dan pelayanan cepat recommended deh mksh bos,positive
235,barang sesuai pesanan tapi kalok bisa tambahin bonus isi staplesnya,positive
236,produk bagus cuma isinya agak susah produk sesuai deskripsi langsung dipakai ok dan mantul moga awet aja terima kasih,positive
237,terima kasih paket sudah di terima,negative
238,gan jual isi steples nya ,positive
239,barang bagus respon cepat maaf ulasannya lambat,positive
240,makasih barang dah smpai dengan aman,positive
241,barang sudah sampai dengan packing rapih terimakasih gan,positive
242,alhamdulillah barang nya sdh kami terima dgn baik pesanan cepat sesuai dengan harapan hari proses pengiriman mantap,positive
243,paket sudah saya terima dengan baik terima kasih banyak atas pelayanannya ,positive
244,barang udh nyampe gan tks sukses terus house sparepart ,positive
245,barang sudah sampai tetapi bingung cara penggunaannya krn tdk ada petunjuk pemakaian tulisannya bahasa china semuanya ,positive
246,sebaiknya kalau mau ngirim barang diperiksa dulu gan kondisi barangnya layak apa gak gitu loh isinya karatan semua ,negative
247,item is ok packing and delivery speed are also prima thanks,positive
248,trima kasih sdh sy dtrima dgn baik ,positive
249,pengiriman cepat packing aman tp isi staplesnya pada karatan semua beli box,negative
250,makasih juragannnnnnnnnnnnn,positive
251,sangat puaasss barang sudah di terima dengan baik,positive
252,terima kasih barang sudah diterima dengan baik,positive
253,paket sampai dengan cepat barang sesuai dengan gambar,positive
254,makasih agan barang cepet sampai isi mulus recommended seller deh next order lagi,positive
255,barang ssesuai gambar dan pengirimannya cepat ,positive
256,ini jugaaa okeeeh ,positive
257,barang cepet sampai terima kasih ,positive
258,isinya ada yg karat produk sesuai gambar,negative
259,refillnya ada yang karatan tapi lumayan dah,positive
260,isi steplessnya sdh lama ya gan ada yg sdh agak berkarat ,positive
261,terima kasih barang sudah diterima recommended seller ,positive
262,barang dah sampe pengiriman cepat ,positive
263,barang dah sampai tapi sy salah tafsir tak pikir mm utk lebarnya ternyata kecil ya sudahlah bisa buat yg lain thx,negative
264,siiip ,positive
265,respon cepat barang sesuai thx gan,positive
266,terima kasih barang sudah sampai dengan baik pengirimannya agak lambat sy pesan dan bayar tgl sampai tgl jakarta to jakarta mungkin ini efek dari hari libur nasional jumat s d minggu atau ada hal yang lain yah ,positive
267,maaf baru sempet ksh ulasan brg udh diterima hari yg lalu mksh yaa ,positive
268,barang sesuai gambar walau sedikit slow respon tp masih ok thx gan,positive
269,sip gan mantap makasih ya,positive
270,produk tidak sesuai order prohex yg dikirim ini,negative
271,barang oke packing aman proses kirim cepat trims,positive
272,sdh diterima thank you ,positive
273,barang sdh sampai dengan selamat packing jg rapih,positive
274,okeh sip terima kasih ,positive
275,fast respon harga murah good n recomended seller deh ,positive
276,barang bagus isi lumayan,positive
277,clear as described recommended seller aaaa ,positive
278,produk bagus dan penjual recommended,positive
279,okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,positive
280,thx gan pesanan udh sampe recommended seller ,positive
281,terimakasih ,positive
282,mantul fast respon kaya vr ,positive
283,terima kasih barang telah diterima semoga mantap akan order lagi,positive
284,pas dengan yang saya cari barang bagus,positive
285,barang cocok dengan harapan ,negative
286,terimakasih barangnya sudah sampai ,positive
287,salah beli kekecilan kualitas lumayan lah,positive
288,barang sesuai deskripsi ,positive
289,mantap laah harga murmer ,positive
290,sesuai deskripsi dan pengiriman cepat ,positive
291,trimaksh brang telah sampai dgn utuh ,positive
292,lumayan cocok dengan harganya,positive
293,mantab ,positive
294,mantap ,positive
295,barang sudah sampai gan langsung ane pakai buat mbenerin kursi,positive
296,kiriman lama tapi sesuai pesanan,positive
297,dah sampe makasih gan ,positive
298,recomended seller thanks gan,positive
299,pesanan sudah sampai terima kasih ,positive
300,barang diterima sesuai pesanan thx,positive
301,biar bintang yg bicara ,positive
302,fast respont best seller ,positive
303,barang bagus sesuai pesanan mas thx,positive
304,sesuai pesanan n proses cepat pertahankan y gan,positive
305,brg sdh diterima ,negative
306,good seller sukses selalu,positive
307,blom kpake ga ccocok ama pluru nya trnyata,negative
308,semoga awet ,positive
309,barang sesuai harga n berfungsi dengan baik ,positive
310,pesanan sesuai dengan gambar pengiriman cepat makasih ,positive
311,thnks gan barang sesuai foto mudahhan awet nih blm coba karna blm ada isinya ,positive
312,barang sdh sampai belum dicoba semoga bisa pakai dan awet thank u seller,positive
313,barang sudah sampai bagus packing rapi,positive
314,barang sesuai gambar barang bagus murah tapi tidak murahan,positive
315,barang sdh ditrima dan berfungsi manteb gan,positive
316,thanks thanks thanks thanks,positive
317,sesuau dengan pesanan semoga awet thx ,positive
318,barang sesuai pesanan mantapp ,positive
319,bngung ini isi staples tembak nya ukuran nomer berapa ya,positive
320,barang sudah sampai dan barang ok terima kasih,positive
321,sesuai gambar sesuai kualitas dengan harga,negative
322,alat bagus berjalan normal bahannya bagus pelayanan ok ,positive
323,siiip barang dah nyampai tengkyu,positive
324,thanks bgt yaa say suka bgt sama barang nyaa sesuai dan good quality,positive
325,brg sudah sampai kualitas brg sesuai harga thanks ,positive
326,bad response ga ada jawaban setiap di tanya sangat sangat silent seller,negative
327,tks ,positive
328,respon kurang cepat lain kali respon agak cepat thanks,negative
329,bagus pengiriman ok rekomen,positive
330,barang sesuai pesanan mantafffffffff,positive
331,super ga ribet cepet ga perlu nanya ada stok atau ga saya langsung order proses sehari sampe mantap barang murah tapi ga murahan joss recommended seller,positive
332,sesuai dengan pesanan sangat berguna,positive
333,bagus dan cepat sampai barang nya oke,positive
334,barang sudah sampai terimakasih next time order lagi,positive
335,makasih ya kiriman dah sampe,positive
336,ya lumayanlah buat dekorasi semoga awet ya ,negative
337,harap informasi isi staples yg bagaimanakah yg cocok ,negative
338,okelahh sesuai dgn deskripsi,positive
339,puas thx,positive
340,produk sesuai deskripsi foto packing pengiriman rapicepat mantap sukses selalu terimakasih,positive
341,cepet bgt nyampe order yg hari hari udah sampe ,positive
342,produk sesuai deskripsi pengiriman cepat,positive
343,barang kualitas bagus sudah coba dipakai bekerja seperti yg diharapkan ,positive
344,produk sesuai dengan gambar mantap,positive
345,mantap alatny sekali jepret langsung tancap pokokny recommended ,positive
346,thanks barang dah sampe ,positive
347,original sesuai foto bagus mantap,positive
348,barang bagus sesuai pesanan ,positive
349,babut maksudnya bagus belanja disini barang sesuai gambaran di otak saya,positive
350,asli rapide r respon seller cepat,positive
351,produk sesuai dengan deskripsi ,positive
352,cepet abieasssssss gannnnnn,positive
353,cepet sampainya recomend,positive
354,telah diterima dengan baik semoga awet barangnya,positive
355,recomemded seller ,positive
356,terima kasih sudah sampai,positive
357,pengiriman cepat packing rapi,positive
358,sesuai maaf baru konfirmasi fast respon ,positive
359,recomsel ,positive
360,bagus berfungsi dg baik,positive
361,barang diterima sesuai order,positive
362,respon cepat packing rapi dan aman makasih yaaa,positive
363,produk cepet bgt sampainya sesuai gambar penjual ramah trimakasih dan sukses terus,positive
364,pengiriman cepat barang sesuai deskripsi terima kasih,positive
365,paket mantab langsung dipakai dan hasilnya memuaskan recomended nih untuk order berikutnya ,positive
366,barangnya sesuai dengan harapan,positive
367,alhamdhulillah pesanan k sudah sampai lebih cepat dari perkiraan kualitas barang oke banget sangat memuaskan ,positive
368,barang sampai dengan selamat packing rapih pake buble pengiriman cepat top lah,positive
369,barang sesuai deskripsi dan response seller cepat ,positive
370,barang cepat sampai pesan sabtu minggu sampai sesuai harapan tks ,positive
371, barang berkualitas,positive
372,barang baguuuus amp pengiriman cepat,positive
373,lumayan untuk harga segitu bagus juga dan bekerja dengan baik,positive
374,pengiriman cepat dan barang sesuai pesanan,positive
375,good stuff recommended ,positive
376,barang lom dicoba pasti bagus mantap dah ,positive
377,barang dtg cepat berkualiras dan penjual respon ok trims ,positive
378,barang sudah diterima dgn baik sgb lah fungsi jg ok ,positive
379,barang bagus sangat kokoh,positive
380,bagus gan barang nya kokoh,positive
381,barang sesuai dengan pesanan mantab gan ,positive
382,brh sdh sampe trims gan ,positive
383,pengiriman sangat cepat dan kenasan baik,positive
384,good response recomended seller tapi barangnya kurang bagus ,negative
385,barang sesuai pesanan dan berfungsing dengan baik thanks ya ,positive
386,orang counter tukang jok kuli bangunan tukang cilok tukang sate driver grab supir go car dll wajib beli ini pekerjaan jd mudah,positive
387,barangnya memuaskan gan ,positive
388,barang sudah diterima dengan baik pengiriman sesuai jadwal mantap jempoool dah,positive
389,goood ,positive
390,trimakasih gan barang dah sampai top ,positive
391,tidak bisa buat masang jok gak ke pake,negative
392,staples nya sdh sampai tks,positive
393,produk sesuai dengan foto terima kasih gan,positive
394,good proses cepat ,positive
395,respon cepat pengiriman super cepat barang sesuai mantap,positive
396,barang bagus respon cepat tx ,positive
397,sudah dicoba kualitas oke sesuai deskripsi terima kasih,positive
398,baguuuuuuuuuuussssssssssssssss kreeeeeeeeeeen,positive
399,responnya cepet barang sudah sampai dicoba juga berfungsi baik ,positive
400,cepat sampai mantab makasih,positive
401,cepat pengirimannya ea,positive
402,mantep barang bagus thanks ya ,positive
403,seller oke packing oke barang fungsi dg baik jne nya yg busuk masa dari kardus luar smp isi dalamnya basah semua kena hujan kurir kamprett,positive
404,respon cepat barang sesuai poto dan berfungsi normal ,positive
405,barang bagus terima kasih,positive
406,sangat cepat dan barang persis contoh,positive
407,barang oke sip recommended seller,positive
408,thanks recomended ,positive
409,thanks gan barang sdh sampe isi straplesnya udh patah rejectn sprtinya semoga bermanfaat semoga mkin laris lapaknya makasih,positive
410,barang bagus sesuai gambar amp sesuai harga trims y,positive
411,okey gan makasih barang sudah mendarat,positive
412,bagussssss ,positive
413,barangx sdh sampai packing dan barangx bgs bngt mksh gan ,positive
414,staples sdh dicoba berfungsi baik terima kasih seller ,positive
415,barang sudah sampai dan berfungsi dengan baik,positive
416,respon seller dan pengiriman cepet banget packing aman dan rapi kualitas barangnya gak murahan dan berfungsi dengan baik recommended terima kasih ,positive
417,paket sesuai pesanan gosend lagi bagus cepat terima kasih,positive
418,terimakasih barang sudah sampe pengirimannya cepat kemasan rapih tks,positive
419,oke top markotop proses cepat malam bayar siang sampai,positive
420,terima kasih buat segala pelayanannya barangnya bagus mau saya gunakan pasang klem kabel biar lebih cepat ternyata brad nail f juga bisa masuk salam sukses gan ,positive
421,udah samapi makasih banyak juragan ,positive
422,sesuai bagus terima kasih sukses terus,positive
423,barang sesuai pengiriman ckp cepat mksh,positive
424,barang sesuai deskripsi penjual responsif pengiriman cepat dan akurat terima kasih,positive
425,sesuai deskripsi terima kasih,positive
426,respon dan proses order cepat barang sesuai gambar dan pengunaan berfungsi baik,positive
427,brg sdh sa pai dan dicoba sdh ok,negative
428,trims ,positive
429,barang oke sesuai berfungsi dgn bagus semoga awet thx gan,positive
430,lumayannnnnnnnnnnnnnnnnnnnnnnnnn,positive
431,sesuai pesanan mantappppppppppppplllllllpppp,positive
432,terimakasih paketnya sudah sampai good saller recoment ,positive
433,bagus barangnya sesuai dengan deskripsi seller top thank you,positive
434,paket sudah saya terima terima kasih,positive
435,thaks ,positive
436,barang sudah diterima respon penjual cepat pengiriman juga cepat barang bagus ,positive
437,barang dah sampe cuma blum di buka mudahan bagus ,positive
438,cepet bgt proses pngirimannya ,positive
439,barangnya sudah sampai gan trims,positive
440,brg bagus pertama agan na krm barang na gk dpt isi staples na gr kesalahan pabrik yg mn msh segel tp isi staples na gk ad lngsng komplain lwt tokopedia agan na lngsng mnt krm balik n brg d krm yg sesuai ongkir bulak balik d tanggung ama agan na thx bgtt gan bnr recomended seller ,positive
441,paket sudah sampai dengan selamat barang bagus dapet isinya macam pula tq,positive
442,sudah sampai dengan selamat fast response thks ,positive
443,thank you proses pengiriman cepat ,positive
444,makasih responnya cepat sekali kemarin sore pesan tadi siang barang sampai tks,positive
445,produknya bagus bosque ,positive
446,kirim nya cepat produk lumayan ,positive
447,alus uyy geus nepi deui nuhun mudahan awet,positive
448,sipppppp thank s,positive
449,pengiriman tepat waktu terima kasih tambah sukses,positive
450,respon cepat barang sesuai di gambar jam udah sampe makasih gan ,positive
451,barang bagis sesuai diskripsi,positive
452,mantap sesuai yg di iklankan,positive
453,ksiiiiiiiiiiiiiiiiiiiiiioiiiiiooooiiiiiiiiiip,positive
454,mantap fast respon harga bersahabat ,positive
455,terimakasih barang sudah sampai ,positive
456,barang kurang bagus kadang staples ga keluar agak kurang bagus,negative
457,mantap sesuai pesanan dan semoga awet,positive
458,staples nya o k gan,positive
459,fast respon material bagus smoga awet tq gan ,positive
460,terimakasih barang sudah sampai sesuai dengan pesanan dengan layanan dan respon yang cepat ,positive
461,barangbsudah sampai yujuan cepat parking bagus,positive
462,ooooooooooooooookkkkkkkk ,positive
463,bagus sesuai dengan pesanan dan berfungsi dengan baik ,positive
464,tooooooooooooooooooop bgt,positive
465,terimakasih barang sdh sy terima sesuai pesanan ,positive
466,packing ok respon cepat and barang sesuai deskripsi recsel ,positive
467,hari ini sy ke ltc lindeteves memang lbh baik online dpt bebasongkir sangat efisien belanja recommended seller,positive
468,sudah diterima sesuai deskripsi barang bagus,positive
469,udh x lbh beli disini ga pernah kecewa bli disini fast respon pengiriman sangat cepet dan rapi lanjutkan recomended bgt,positive
470,terima kasih barang sudah sampai gannn,positive
471,barang bagus cepat sampai recommended ,positive
472,sangat puas belanja di toko ini,positive
473,barang sampai dengan selamat ,positive
474,barang sesuai respon cepat jempol dehhh ,positive
475,selalu puas dengan pelayanan toko ini dan tokopedia top seller,positive
476,respon cepat paket cepat sampai,positive
477,barang sdh sampai fast respons ,positive
478,recomended seller bossss,positive
479,barang nya okey pengiriman juga cepat mantapppp makasih yah ,positive
480,pas cocok sesuai dengan gambar dan deskripsi,positive
481,barang sesuai pesanan mksh,positive
482,belanja kedua kalinya selalu memuaskan respon cepat recommended seller ,positive
483,stlh trf lsg dikirim oleh wahana pake wahana ke serang cuma sehari sudah sampai recommended,positive
484,packing rapi sellernya juga ramah produk juga bagus makasih gan,positive
485,cpt bgt pake wahana sampe kurang dr jam ke serang goodd ,positive
486,produk sesuai dengan etalase gambar pengiriman cepat respon baik pokok nya ok lah sukses selalu dan tingkatkan terus pelayanan,positive
487,baru nyoba merek ini ternyata bagus sukses jualannya,positive
488,tiba lebih cepat ,positive
489,mantap gan sesuai pesanan dan perkiraan mantap tap dah thanks gan,positive
490,sesuai pesanan ,positive
491,thxs gan barangnya sdh sampai dgn baik ,positive
492,ok pas mantap ,positive
493,thanks ya boss semoga bermanfaat,positive
494,joooooooooooooooooooooooosss,positive
495,barang sudah sampai thanks for seller,positive
496,barang udah nyampk tadi sore baru konfirmasi baru pulang kerja,positive
