,text,sentiment
148,Seller merespon dengan cepat dengan proses pengiriman yang juga cepat. Barang dipacking rapi dan berkualitas baru (bnib). Stapler gun sudah termasuk isinya dan ada 3 jenis ukuran.,positive
149,Sesuai deskripsi......lumayan lah buat pertama kali,negative
150,barang jelek copot&#34; terus tmpat taro isinya,negative
151,👍👍👍👍👍👍👍,positive
152,Barang dah sampe..cepat rapi dan respon penjual baik,positive
153,"barang sudah diterima dalam kondisi bagus, sudah di test, terimakasih",positive
154,Produk bagus dan respon cepat.,positive
155,Terima kasih seller barang baru sampai.tapi kurang teliti.mohon d perbaiki lg ya supaya gak tertukar no resinya dgn yg lain....,negative
156,"Mantap, rekomen seller, barang bagus",positive
157,Barang sesuai deskripsi. Pengiriman cepat. Thanks 👍,positive
158,"delivery cepat, packing rapih, produk sesuai deskripsi gambar, trims ya gan",positive
159,"barang sudah sampai, 
langsung dicoba n lancar jaya. 
thanks seller.",positive
160,Mantaps brng sesuai dan cepat responnya,positive
161,"Barang sesuai gambar 
Respon penjual cepat",positive
162,Barang di terima sesuai spek,positive
163,"Barang telah tiba, sesuai gambar...",positive
164,Barang sudah di terima thank u,positive
165,Terimakasih gan barang sudah sampai,positive
166,Barang sudaj sampai gan tks....,positive
167,respon cepat... pengiriman juga cepat... sudah dites kualitas barang ok... trims,positive
168,Terimakasihhhhhhh.............,positive
169,"barang sdh dterima dgn baik, trima kasih..",positive
170,"Barang sudah di terima, bagus, packing rapih makasih pelayanan nya",positive
171,"Barang sudah sampai, bahan kokoh sptnya..udah di tes ke kayu..nempel kuat..untung dapet bonus isi nya..trims gan.",positive
172,Packing sangat rapih dan barang sesuai yg dipesan,positive
173,"Mantap, ajib, top, joss",positive
174,Pengiriman &amp; packaging bagus. Sesuai foto &amp; deskripsi. Staple gun agak berat ketika dipake.,positive
175,oke........... sesuai pesanan,positive
176,makasih gan...barang sesuai ....,positive
177,Barang bagus. Kalau beli isinya kira2 di Toko ATK ada yang jual nda ya?,positive
178,"trims yaaa, barangx sdh sampai",positive
179,barang sesuai walaupun belum di coba...makasih tokopedia,positive
180,packing bagus barang sesuai diskripsi,negative
181,mantab fast respon...,positive
182,"barang sudah sampai, belum tak coba",positive
183,baguuuus sesuai deskripsi dan gambar. belum dicoba sih semoga g ada masalah,positive
184,Produk bekerja dengan baik &amp; kuat,positive
185,Beli staples gak jual isinya... hanya sekali pake.... ckckck,negative
186,Bagusbanget......................................................................,positive
187,terimakasih barang sudah sampai,negative
188,Puas pisan cepet pisan,positive
189,"barang bagus sesuai deskripsi, packing rapi, pengiriman cepat. semoga tambah sukses gan, tks.",positive
190,kirimannya sudah sampe.. makasih,positive
191,Barang sesuai pesanan,positive
192,Barang sdh sampai dgn cepat.. Sdh dicoba dan hasilnya ok... Sukses terus boss.....,positive
193,"sesuai gambar, tp blm dicoba... semoga memuaskan....thanks",positive
194,barangnya kurang bagus atomnya gak masuk semua,negative
195,sangat cepat responnya..good job thanks,positive
196,sudah saya terima dlm keadaan baik. trims,positive
197,"Terima kasih, Thank You, Danke, Gracias, Kittos, Syukron.",positive
198,"Brg sesuai gambar, pelayanan oke",positive
199,Barang sdh sampai....,positive
200,Barang sudah di terima dengan baik,positive
201,barang sesuai gambar. kemasan baik dan pengiriman cepat. terima kasih,positive
202,"Barang sesuai deskripsi,cuma terlambat di pengiriman.Semoga berkah",positive
203,"Sesuai dgn deskripsi dan foto, dan sangat cocok bagi saya yg baru belajar.  Saya REKOMENDASIKAN Toko Rumah Baju Kita untuk belanja disini sebab komitmen dgn pembicaraan kita dichat. Setelah bayar barang langsung diproses dan dikirim hari itu juga untuk pengirimannya menggunakan Pos Indonesia sudah sesuai dengan waktu pengiriman yg saya pilih. Sy puas dengan pelayan kalian",positive
204,good product. mantab jaya. recomended seller,positive
205,Produk mantab pelayanan cepat.... Terimakasih,positive
206,"Barang sesuai deskripsi, tolong pakingnya di pebaiki lagi  dikasih lakban biar aman, punya saya pakunya tercecer dimana2 kotaknya robek",positive
207,"Barang sesuai deskripsi dan bagus, semoga awet. Thx",positive
208,Packing Baik. Recommended Seller. Barang Sesuai Pesanan,positive
209,"bagus...
nanti saya pesan lagi di toko ini",positive
210,Mantap gan bagus...........,positive
211,"Saya mau review utk packaging, produk dan penjual.
Pertama packaging sangat rapi, pakai double bubble dan dibalut lagi dengan karton tebal.
Kedua produk sangat berkualitas tinggi, harga standar dan kualitas juara, ketajaman ujung mata paku sangat tajam hingga mempermudah paku tembusnya.
Ketiga penjual sangat sangat ramah, baru kali pertama ini saya dilayani dengan sangat puas. Pertama saya beli barang ini dan ancur parah oleh pihak ekspedisi dan saya tidak langsung komplain tetapi coba utk diskusi dengan penjual dan hasilnya sangat memuaskan, bahwa penjual siap utk mengirim ulang tanpa membawa barang yg rusaknya itu.

Saya jamin menurut pengalaman pribadi kalo ini toko berani bersaing dari sisi harga dan sangat recommended seller.",positive
212,"Respon dan pengiriman cepat, barang oke, good seller",positive
213,"Pengiriman cepat,packing rapi dan barangnya sesuai dgn deskripsi",positive
214,Bagus bagus bagusksksnsnjsjjsksmmsms,positive
215,"Respon dan pengiriman cepat, barang bagus",positive
216,"Selamat sampai tujuan,barang berfungsi normal,isi paket lengkap",positive
217,"Recomended seller, respon cepat packing mantap, barang pesanan di buble wrap.... Josss",positive
218,"Produknya ok,...............",positive
219,"Kualitas okey, makasih Gan. Semua barang aman, dan sesuai deskripsi.",positive
220,"mantab joos  tanpa kendala, sampai jg sangat cepat, packingnya aman kemasan dan produk mulus, top pkoknya sukses selalu",positive
221,Barang sesuai dengan deskripsi. Pengiriman cepat gak pake lama. Barang bagus. Mantap dahh pokoknya. Thanks gan,positive
222,"barang sesuai pesanan, respon dan pengiriman cepat, good Seller",positive
223,Barang sesuai posting.. siip,positive
224,"berfungsi dengan baik, pengiriman dan respon cepat",positive
225,Barang sesuai dengan gambar pengiriman cepat. Respon Seller 👍🏼👍🏼,positive
226,"Recommended seller
...",positive
227,"Barang bagus, respond cepat..",positive
228,Barang sesuai order respon dan pengiriman cepat,positive
229,Terima kasih pak. Barang nay sudah sampai,positive
230,Bagusssssssssssss mksh,positive
231,"Pas dengan air nailer nya gan .. thanks.

Recommended seller.",positive
232,oke sip sudah dinpake.. mantap,positive
233,Makasih juragan.......,positive
234,MANTAB..!!! SALAM NINGRAT..!!!,positive
235,"Best dah best best, penjual yg bner  best dah....",positive
236,Barang datang sesuai pesanan. Packing rapi.,positive
237,mantap barng oke dn cepat,positive
238,"mkasih bnyak barang sesuai :) harga miring, kualitas baguss sekali, sukses ya gan",positive
239,"Alhamdulillah paket sdh sampai, respon dan pelayanan cepat, recommended deh, mksh bos",positive
240,Barang sesuai pesanan tapi kalok bisa tambahin bonus isi staplesnya,positive
241,Produk Bagus..cuma isinya agak Susah..Produk sesuai deskripsi. Langsung dipakai ok dan mantul. Moga awet aja. Terima kasih,positive
242,terima kasih paket sudah di terima,negative
243,Gan jual isi steples nya.....,positive
244,Barang bagus..........respon cepat...........maaf ulasannya lambat,positive
245,barang sudah diterima.......................,positive
246,makasih barang dah smpai dengan aman,positive
247,"barang sudah sampai dengan packing rapih , terimakasih gan",positive
248,alhamdulillah barang nya sdh kami terima dgn baik.  pesanan cepat sesuai dengan harapan.. 1 hari proses pengiriman..  mantap,positive
249,"paket sudah saya terima dengan baik, terima kasih banyak atas pelayanannya!",positive
250,barang udh nyampe gan. tks. Sukses terus HOUSE SPAREPART....,positive
251,barang sudah sampai.. tetapi bingung cara penggunaannya krn tdk ada petunjuk pemakaian.. tulisannya bahasa China semuanya..,positive
252,"Sebaiknya kalau mau ngirim barang...diperiksa dulu gan, kondisi  barangnya layak apa gak gitu loh.
(Isinya karatan semua)",negative
253,Item is ok! Packing and delivery speed are also prima.Thanks,positive
254,"Trima Kasih, sdh sy dtrima dgn baik..",positive
255,"Pengiriman Cepat, packing aman tp Isi staplesnya pada karatan semua, beli 2 box",negative
256,Makasih juragannnnnnnnnnnnn,positive
257,"Sangat Puaasss, Barang sudah di terima dengan baik",positive
258,"Terima kasih, barang sudah diterima dengan baik",positive
259,paket sampai dengan cepat barang sesuai dengan gambar,positive
260,"Makasih Agan Barang cepet sampai,isi mulus . recommended seller deh....next order lagi",positive
261,Barang ssesuai gambar dan pengirimannya cepat..,positive
262,ini jugaaa okeeeh...,positive
263,"barang cepet sampai, terima kasih.",positive
264,isinya ada yg karat. produk sesuai gambar,negative
265,refillnya ada yang karatan tapi lumayan dah,positive
266,isi steplessnya....sdh lama ya gan ada yg sdh agak berkarat...,positive
267,terima kasih...  barang sudah diterima.  recommended seller...,positive
268,barang dah sampe.  pengiriman cepat.,positive
269,"barang dah sampai.. tapi sy salah tafsir, tak pikir 10mm utk lebarnya, ternyata kecil. ya sudahlah bisa buat yg lain. thx",negative
270,siiip.......................... ;),positive
271,"respon cepat, barang sesuai. thx gan",positive
272,terima kasih barang sudah diterima dengan baik,positive
273,terima kasih barang sudah sampai dengan baik..  pengirimannya agak lambat. sy pesan dan bayar tgl 13/04 sampai tgl 17/04.. jakarta to jakarta..  mungkin ini efek dari hari libur nasional jumat s/d minggu atau ada hal yang lain yah?,positive
274,Maaf baru sempet ksh ulasan.. Brg udh diterima 2 hari yg lalu.. Mksh yaa.. :),positive
275,Barang sesuai gambar... walau sedikit slow respon tp masih OK.. thx Gan,positive
276,Sip gan mantap makasih ya,positive
277,"Produk tidak sesuai, order prohex yg dikirim ini",negative
278,"Barang oke, packing aman, proses kirim cepat. Trims",positive
279,Sdh diterima. Thank you.,positive
280,"Barang sdh sampai dengan selamat, packing jg rapih",positive
281,"Okeh, sip, terima kasih...",positive
282,"Fast respon, harga murah.. good n recomended seller deh..",positive
283,barang bagus isi 10 lumayan,positive
284,"Clear as described, .....Recommended Seller,....AAAA+++",positive
285,Produk bagus dan penjual recommended,positive
286,okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,positive
287,"Thx gan pesanan udh sampe..
Recommended seller..",positive
288,Terimakasih.............,positive
289,Mantul fast respon kaya VR|46,positive
290,"terima kasih ... barang telah diterima, semoga mantap ...akan order lagi",positive
291,pas dengan yang saya cari ... barang bagus,positive
292,Barang cocok dengan harapan ...,negative
293,terimakasih barangnya sudah sampai...,positive
294,"salah beli, kekecilan. kualitas lumayan lah",positive
295,barang sesuai deskripsi..,positive
296,mantap laah.....harga murmer.........,positive
297,sesuai deskripsi dan pengiriman cepat.,positive
298,trimaksh brang telah sampai dgn utuh.,positive
299,Lumayan... Cocok dengan harganya,positive
300,mantab.......................................,positive
301,mantap ...................................,positive
302,"Barang sudah sampai gan, langsung ane pakai buat mbenerin kursi",positive
303,kiriman lama tapi sesuai pesanan,positive
304,dah sampe. makasih gan.............................,positive
305,recomended seller....thanks gan,positive
306,pesanan sudah sampai... terima kasih....,positive
307,Barang diterima sesuai pesanan...thx,positive
308,biar bintang yg bicara.......   ....,positive
309,OK................................................,positive
310,fast respont...best seller....,positive
311,Barang bagus sesuai pesanan mas thx,positive
312,sesuai pesanan n proses cepat pertahankan y gan,positive
313,brg sdh diterima.................,negative
314,"Good seller, sukses selalu",positive
315,blom kpake ga ccocok ama pluru nya trnyata,negative
316,semoga awet...............,positive
317,terimakasih........................................................................................,negative
318,Terima kasih.........,positive
319,barang sesuai harga n berfungsi dengan baik.,positive
320,pesanan sesuai dengan gambar pengiriman cepat makasih..,positive
321,"thnks gan,barang sesuai foto,,,mudah2han awet nih,,,blm coba karna blm ada isinya,,=)",positive
322,"barang sdh sampai, belum dicoba semoga bisa pakai dan awet. thank u seller",positive
323,"barang sudah sampai, bagus packing rapi",positive
324,"Barang sesuai gambar, barang bagus, murah tapi tidak murahan",positive
325,barang sdh ditrima dan berfungsi...manteb gan,positive
326,thanks...thanks...thanks...thanks,positive
327,Sesuau dengan pesanan semoga awet. Thx...,positive
328,Barang sesuai pesanan.. mantapp...,positive
329,bngung ini isi staples tembak nya ukuran nomer berapa ya,positive
330,barang sudah sampai.. dan barang OK. terima kasih,positive
331,"Sesuai gambar, sesuai kualitas dengan harga",negative
332,Alat bagus berjalan normal bahannya bagus pelayanan ok...,positive
333,siiip barang dah nyampai....... tengkyu,positive
334,mantap sampai dengan aman gan.............................,positive
335,"Thanks bgt yaa say
suka bgt sama barang nyaa sesuai dan good QUALITY",positive
336,Brg sudah sampai... Kualitas brg sesuai harga.. thanks..,positive
337,Bad response...ga ada jawaban setiap di tanya..sangat sangat silent seller,negative
338,tks.....................................,positive
339,respon kurang cepat.lain kali respon agak cepat.thanks,negative
340,Bagus .... pengiriman ok .... rekomen,positive
341,barang sesuai pesanan mantafffffffff,positive
342,"super ..
ga ribet,cepet,ga perlu nanya ada stok atau ga,saya langsung order .proses,sehari sampe ..
mantap..
barang murah tapi ga murahan..
joss
recommended seller",positive
343,"sesuai dengan pesanan, sangat berguna",positive
344,bagus dan cepat sampai barang nya oke,positive
345,barang sudah sampai.terimakasih  next time order lagi,positive
346,makasih ya.... kiriman dah sampe,positive
347,"ya lumayanlah buat dekorasi semoga awet ya,",negative
348,Harap informasi isi staples yg bagaimanakah yg cocok?,negative
349,Okelahh..sesuai dgn deskripsi,positive
350,Puas................. thx,positive
351,"Produk sesuai deskripsi, foto 
Packing,pengiriman,RapiCepat, mantap
Sukses selalu
Terimakasih",positive
352,"Cepet bgt nyampe order yg 4hari,,,1hari udah sampe👍👍👍👍👍",positive
353,"Produk sesuai deskripsi, pengiriman cepat",positive
354,"Barang kualitas bagus.
Sudah coba dipakai, bekerja seperti yg diharapkan.",positive
355,Produk sesuai dengan gambar...mantap,positive
356,"Mantap alatny, sekali jepret langsung tancap,pokokny recommended.",positive
357,thanks barang dah sampe....,positive
358,Original sesuai foto bagus mantap,positive
359,Barang bagus sesuai.pesanan.,positive
360,"Babut , maksudnya bagus , belanja disini , barang sesuai gambaran di otak saya",positive
361,"asli rapide r-23, respon seller cepat",positive
362,Produk sesuai dengan deskripsi.,positive
363,Cepet abieasssssss gannnnnn,positive
364,"cepet sampainya,recomend",positive
365,"telah diterima dengan baik,, semoga awet barangnya",positive
366,Recomemded seller........,positive
367,Terima kasih sudah sampai,positive
368,Pengiriman cepat packing rapi,positive
369,Sesuai... maaf baru konfirmasi... fast respon...,positive
370,recomsel....................,positive
371,Bagus...berfungsi dg baik,positive
372,Barang diterima sesuai order,positive
373,"Respon cepat, packing rapi dan aman, makasih yaaa",positive
374,"Produk cepet bgt sampainya,sesuai gambar..penjual ramah..trimakasih dan sukses terus",positive
375,"Pengiriman cepat,  barang sesuai deskripsi,,  terima kasih",positive
376,Paket mantab langsung dipakai dan hasilnya memuaskan ...recomended nih ..untuk order berikutnya...,positive
377,Barangnya sesuai dengan harapan,positive
378,"Alhamdhulillah pesanan k sudah sampai lebih cepat dari perkiraan, kualitas barang oke banget, sangat memuaskan.",positive
379,"Barang sampai dengan selamat, packing rapih pake buble, pengiriman cepat.... top lah",positive
380,Barang sesuai deskripsi dan response Seller cepat.,positive
381,"Barang cepat sampai, pesan sabtu, minggu sampai, sesuai harapan, tks.",positive
382,👍 barang berkualitas,positive
383,barang baguuuus &amp; pengiriman cepat,positive
384,Terimakasih.........................,positive
385,"Lumayan untuk harga segitu,,, bagus juga dan bekerja dengan baik",positive
386,"Pengiriman Cepat, dan barang sesuai pesanan",positive
387,Good stuff .. Recommended !,positive
388,Barang lom dicoba.. pasti bagus mantap dah..,positive
389,"Barang dtg cepat,  berkualiras,  dan penjual respon. Ok trims..!",positive
390,"Barang sudah diterima dgn baik, SGB lah, fungsi jg ok.",positive
391,Barang bagus sangat kokoh,positive
392,"bagus gan, barang nya kokoh",positive
393,Barang sesuai dengan pesanan...mantab gan👍🏻,positive
394,Brh sdh sampe. .trims gan..,positive
395,Pengiriman sangat cepat dan kenasan baik,positive
396,Good response recomended seller tapi barangnya kurang bagus.,negative
397,barang sesuai pesanan dan berfungsing dengan baik... thanks ya...,positive
398,"Orang counter, tukang jok, kuli bangunan, tukang cilok, tukang sate, driver grab, supir go car dll wajib beli ini.. pekerjaan jd mudah",positive
399,Barangnya Memuaskan gan..,positive
400,"barang sudah diterima dengan baik,pengiriman sesuai jadwal .. mantap 10 jempoool dah",positive
401,Goood...................,positive
402,"Trimakasih, gan barang dah sampai.. Top.",positive
403,tidak bisa buat masang jok gak ke pake,negative
404,"Staples nya sdh sampai, tks",positive
405,"produk sesuai dengan foto
terima kasih gan",positive
406,"Good, proses cepat..........",positive
407,Respon cepat pengiriman super cepat barang sesuai mantap,positive
408,"barang bagus,respon cepat.tx.",positive
409,"Sudah dicoba, kualitas oke
Sesuai deskripsi, terima kasih",positive
410,baguuuuuuuuuuussssssssssssssss kreeeeeeeeeeen,positive
411,"Responnya cepet, barang sudah sampai, dicoba juga berfungsi baik,",positive
412,cepat sampai mantab makasih,positive
413,Cepat pengirimannya ea,positive
414,"mantep,  barang bagus..  thanks ya..",positive
415,"Seller oke, packing oke, barang fungsi dg baik. JNE nya yg busuk. Masa dari kardus luar smp isi dalamnya basah semua kena hujan. Kurir kamprett",positive
416,"respon cepat,barang sesuai poto,dan berfungsi normal..",positive
417,barang bagus terima kasih,positive
418,sangat cepat dan barang persis contoh,positive
419,barang oke sip recommended seller,positive
420,Barang sesuai pesanan,positive
421,thanks... recomended.........,positive
422,"Thanks gan .. barang sdh sampe, "" isi straplesnya udh patah2 rejectn sprtinya"" .. semoga bermanfaat .. semoga mkin laris lapaknya.. makasih",positive
423,"barang bagus sesuai gambar, &amp; sesuai harga, trims y",positive
424,"Okey gan ,, makasih barang sudah mendarat",positive
425,bagussssss.............................,positive
426,barangx sdh sampai..packing dan barangx bgs bngt..mksh gan...,positive
427,Staples sdh dicoba & berfungsi baik. Terima kasih seller.,positive
428,Barang sudah sampai dan berfungsi dengan baik,positive
429,"Respon seller dan pengiriman cepet banget, packing aman dan rapi, kualitas barangnya gak murahan dan berfungsi dengan baik. Recommended terima kasih!",positive
430,"Paket sesuai pesanan,  gosend lagi bagus cepat terima kasih",positive
431,terimakasih barang sudah sampe....pengirimannya cepat kemasan rapih....tks,positive
432,"oke top markotop, proses cepat, malam bayar, siang sampai",positive
433,"terima kasih buat segala pelayanannya, barangnya bagus, mau saya gunakan pasang klem kabel biar lebih cepat. ternyata brad nail f15 juga bisa masuk. salam sukses gan.",positive
434,udah samapi...makasih banyak Juragan...,positive
435,"sesuai, bagus, terima kasih...sukses terus",positive
436,"barang sesuai, pengiriman ckp cepat.. mksh",positive
437,"Barang sesuai deskripsi, penjual responsif, pengiriman cepat dan akurat. Terima kasih",positive
438,"sesuai deskripsi....
Terima kasih",positive
439,"Respon dan Proses Order cepat, barang Sesuai gambar dan pengunaan berfungsi baik",positive
440,brg sdh sa.pai dan dicoba sdh ok,negative
441,trims.....................................,positive
442,"barang oke, sesuai berfungsi dgn bagus, semoga awet...
thx gan",positive
443,lumayannnnnnnnnnnnnnnnnnnnnnnnnn,positive
444,sesuai pesanan.  mantappppppppppppplllllllpppp,positive
445,terimakasih paketnya sudah sampai... good saller recoment...,positive
446,"Bagus barangnya, sesuai dengan deskripsi. Seller top. Thank you",positive
447,paket sudah saya terima... terima kasih,positive
448,thaks...............................................,positive
449,"Barang sudah diterima, respon penjual cepat, pengiriman juga cepat. barang bagus,,,",positive
